Name,Nat,Club,Position,Age,Height,Preferred_ Foot,Apps,Starts,Mins,Gls,Ast,Wage,Transfer_Value,Pens,Pens_S,Pas_A,Pas_%,Pr_Passes,Pres_A,Pres_C,Blk,Shts_Blckd,Clear,Hdrs,Itc,Tck_A,Tck_W,Off,Gl_Mst,K_Tck,Distance,Drb,Cr_A,Cr_C%,Shots,Shts_on_target,K_Pas,Yel,Red,xG,xA
Anthony Bailey,ENG,Crystal Palace,"M (L), AM (RLC)",24,"5'10""",Either,21 (20),21,1950,5,9,"£19,750 p/w",£7M - £8.6M,0,0,812,76%,48,427,137,17,4,12,67,38,89,67,15,1,0,296.1km,47,171,22%,46,17,52,1,0,5.01,5.37
Ollie Watkins,ENG,Crystal Palace,"AM (RLC), ST (C)",36,"5'11""",Right,19 (2),19,1514,5,3,"£57,000 p/w",£14K - £140K,0,0,499,84%,23,316,86,13,2,16,73,16,58,42,8,0,1,216.8km,30,42,11%,33,16,21,0,0,3.58,1.77
Livesey Ozmen,ENG,Crystal Palace,"M/AM (C), ST (C)",22,"5'10""",Right,17 (14),17,1561,4,1,"£18,500 p/w",£5.6M - £9M,0,0,600,85%,47,204,55,1,0,7,32,18,36,29,6,0,0,232.6km,24,21,33%,27,9,17,3,0,3.04,1.59
Elliot Anderson,ENG,Crystal Palace,"M (C), AM (RLC)",29,"5'10""",Either,16 (12),16,1391,2,3,"£53,000 p/w",£1.9M,1,1,769,79%,57,254,92,16,4,9,36,29,44,34,4,1,1,210.1km,17,53,33%,30,13,31,3,0,2.39,1.94
Konrad Ochman,POL,Crystal Palace,"D (LC), WB (L)",24,"5'10""",Left,13,13,1116,1,0,"£29,500 p/w",£5.8M - £9.4M,0,0,794,90%,39,47,22,8,5,25,85,45,18,15,0,1,3,141.7km,1,3,33%,2,1,4,2,0,0.75,0.15
Nathan Simcock,ENG,Crystal Palace,"D (L), M/AM (C)",20,"6'0""",Right,12 (10),12,1260,1,2,"£11,000 p/w",Not for Sale,0,0,748,79%,97,213,76,16,4,10,54,52,45,31,2,0,2,196.2km,23,28,14%,12,5,15,0,0,0.55,1.09
Tyler Fredricson,ENG,Crystal Palace,D (C),27,"6'0""",Right,9 (6),9,836,0,1,"£28,000 p/w",£5.4M - £7.2M,0,0,579,78%,54,41,22,4,3,12,97,42,11,9,1,0,3,109.3km,0,3,0%,5,2,7,4,1,0.12,0.31
Michael Holdford,ENG,Crystal Palace,M/AM (L),21,"5'9""",Left,8 (16),8,890,0,4,"£16,500 p/w",£14M - £17.5M,0,0,372,80%,21,188,68,8,2,9,15,18,28,23,10,0,0,137.2km,42,165,14%,15,3,30,1,0,1.5,4.57
Lee Ferguson,ENG,Crystal Palace,D (RLC),22,"6'0""",Right,7 (10),7,726,0,0,"£5,250 p/w",£4.3M - £7.6M,0,0,425,76%,40,101,34,7,3,20,60,37,22,17,0,0,1,109.0km,14,29,6%,2,1,6,3,0,0.07,0.57
Youssouf Ndayishimiye,BDI,Crystal Palace,"D (C), DM, M (C)",33,"6'2""",Right,5 (3),5,440,0,0,"£41,500 p/w",£2.6M,0,0,358,87%,33,32,14,2,2,3,57,10,9,5,1,0,4,58.7km,3,1,0%,1,0,1,2,1,0.2,0
Mor Talla N'Diaye,ENG,Crystal Palace,GK,21,"6'2""",Right,3,3,270,0,0,"£6,250 p/w",£80K - £800K,0,0,71,24%,3,0,0,-,-,-,-,2,1,0,0,0,0,12.9km,0,-,-,0,-,0,0,0,0,0
George Hall,ENG,Crystal Palace,"DM, M/AM (C)",27,"6'0""",Right,2 (4),2,265,0,0,"£22,500 p/w",£4.7M - £9.2M,0,0,236,82%,18,41,15,2,0,0,13,6,5,5,0,0,0,43.0km,3,3,0%,4,0,6,0,0,0.15,0.16
Diamond Edwards,ENG,Crystal Palace,"M (R), AM (RL)",28,"5'8""",Right,0 (8),-,162,0,2,"£16,000 p/w",£300K - £2.9M,0,0,75,81%,3,29,8,0,0,2,3,4,3,2,4,0,0,26.6km,6,24,22%,1,1,5,0,0,0.17,0.76
Michael Mubarak,ENG,Crystal Palace,"AM (LC), ST (C)",24,"6'2""",Left,0 (5),-,64,0,0,"£15,250 p/w",£850K,0,0,22,91%,0,7,4,0,0,0,5,3,1,1,0,0,0,11.6km,2,1,100%,4,2,5,0,0,0.29,0.2
Ardit Zeneli,KOS,Crystal Palace,"M (R), AM (RL), ST (C)",23,"5'10""",Right,0 (1),-,22,0,0,"£10,250 p/w",£4.7M,0,0,4,50%,0,1,0,0,0,0,0,0,0,-,0,0,0,3.3km,0,0,0%,0,-,0,0,0,0,0
Aaron Haley,ENG,Crystal Palace,"AM (RL), ST (C)",23,"5'9""",Right,-,-,-,-,-,"£6,750 p/w",£45K - £475K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Redon Shala,KOS,Crystal Palace,"M (RC), AM (RL)",22,"6'1""",Right,-,-,-,-,-,"£5,250 p/w",£14K - £130K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
George Jones,SCO,Crystal Palace,"D (LC), M (L)",24,"5'9""",Left,-,-,-,-,-,"£5,750 p/w",£300K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nathan Phillips,ENG,Crystal Palace,D (RC),35,"6'3""",Right Only,-,-,-,-,-,"£31,000 p/w",£35K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ivo Grbi?,CRO,Derby,GK,36,"6'5""",Right,50,50,4530,0,2,"£21,000 p/w",£30K - £300K,0,0,"1,220",41%,78,0,0,-,-,-,-,22,4,2,0,3,2,316.8km,0,-,-,0,-,2,0,0,0,0.47
Brenden Aaronson,USA,Derby,"M (RC), AM (RLC)",31,"5'9""",Right,47 (1),47,3790,14,5,"£30,500 p/w",Not for Sale,1,1,"1,477",83%,79,869,251,19,2,22,114,88,153,124,25,0,0,589.0km,98,75,26%,105,45,61,3,0,15.43,6.72
Lewis Williams,WAL,Derby,D (C),23,"6'0""",Right,45 (1),45,3992,1,1,"£20,500 p/w",£8.2M - £10.5M,0,0,"2,713",90%,162,194,92,39,35,71,351,164,64,50,1,3,19,505.9km,3,3,0%,20,6,5,4,1,1.79,0.37
Aaron Connolly,IRL,Derby,ST (C),32,"5'9""",Right,43 (2),43,3532,12,6,"£13,750 p/w",£250K - £9.2M,0,0,"1,096",86%,64,423,145,8,2,11,84,42,89,67,23,0,2,514.6km,64,16,12%,76,28,41,3,0,12.76,6.19
Dan Hope,WAL,Derby,D/WB/M/AM (L),24,"5'11""",Left,42,42,3553,1,6,"£5,500 p/w",£450K - £3.3M,1,0,"1,803",83%,152,439,127,34,5,79,151,136,120,91,1,5,5,539.0km,116,115,18%,26,6,41,3,0,2.11,4.3
Kailan Cherrett,ENG,Derby,"M/AM (R), ST (C)",23,"6'0""",Right,38 (5),38,2826,8,4,"£22,000 p/w",£7.2M - £11.5M,0,0,"1,245",75%,67,588,159,22,6,32,186,63,136,110,18,0,0,420.0km,119,70,11%,92,23,31,2,0,9.65,3.52
Brandon Cooper,WAL,Derby,D (C),32,"6'1""",Right,37 (1),37,3204,0,1,"£31,000 p/w",£140K - £1.4M,0,0,"2,138",80%,161,170,73,28,22,43,331,119,62,45,0,1,13,400.7km,1,0,0%,21,11,10,6,0,1.2,1.32
Emiljano Pici,ITA,Derby,D (RC),20,"6'4""",Right,33 (8),33,2655,2,3,"£16,750 p/w",£24M - £30M,0,0,"1,431",85%,129,370,126,18,10,39,190,117,89,69,3,0,4,419.1km,45,196,8%,28,8,40,11,0,2.45,4.4
Leighton Clarkson,ENG,Derby,"DM, M/AM (C)",30,"5'9""",Right,31 (3),31,2623,2,5,"£23,000 p/w",£4.9M - £8M,2,2,"1,853",83%,236,443,148,21,13,18,31,72,81,67,4,1,2,412.1km,50,213,27%,37,13,105,0,0,4.19,7.63
Barry Jefferies,WAL,Derby,"D (LC), DM, M (C)",24,"5'6""",Right,26 (10),26,2320,2,1,"£16,250 p/w",£1.1M - £4.6M,1,1,"1,536",88%,183,332,114,17,8,30,41,54,65,46,0,1,2,353.8km,18,17,17%,27,8,28,2,1,2.08,2.24
Adam Gerrard,ENG,Derby,D/WB (R),23,"5'10""",Left,19 (23),19,2025,0,2,"£14,250 p/w",£4.3M - £5.2M,0,0,"1,041",82%,105,262,90,30,6,29,49,122,64,50,2,0,4,338.8km,100,110,11%,20,3,33,8,0,1.54,4.32
James McAtee,ENG,Derby,"M/AM (C), ST (C)",29,"5'9""",Left,19 (20),19,1929,10,4,"£25,000 p/w",£10.5M - £13M,1,0,798,84%,44,405,123,16,5,10,55,37,75,65,9,0,0,309.4km,52,23,22%,59,25,46,3,0,9.27,2.7
Nicholas Santos,GIB,Derby,"D (C), DM, M (C)",24,"5'10""",Right,16 (17),16,1713,0,1,"£6,250 p/w",£300K - £3.1M,0,0,"1,134",74%,92,111,43,16,11,36,92,58,26,20,0,0,5,227.5km,8,4,25%,5,3,9,4,0,0.4,0.95
Tom Davies,ENG,Derby,"DM, M (C)",33,"5'10""",Right,15 (19),15,1540,1,0,"£14,250 p/w",£160K - £1.6M,0,0,"1,243",88%,142,239,74,8,4,10,45,36,59,44,1,0,0,241.1km,17,8,25%,24,2,31,6,0,0.65,1.44
Matthew Smith,ENG,Derby,"DM, M (C)",31,"5'9""",Right,15 (10),15,1440,0,3,"£19,750 p/w",£375K - £3.7M,0,0,"1,142",89%,116,236,70,7,4,6,23,18,37,25,0,0,1,221.7km,14,71,42%,16,2,44,0,0,0.72,2.74
Álvaro Taffarel,ARG,Derby,"DM, M/AM (LC)",21,"5'7""",Right,15 (3),15,1327,1,1,"£27,000 p/w",£25M - £31M,0,0,751,86%,69,245,76,5,0,10,10,33,37,26,2,0,1,201.0km,29,44,26%,30,8,31,2,0,1.89,2.93
Eon Grant,ENG,Derby,"AM (C), ST (C)",24,"5'8""",Right,14 (24),14,1613,6,0,"£31,500 p/w",£9.2M - £15M,0,0,654,82%,21,247,63,7,3,6,27,24,39,27,12,0,0,251.2km,23,18,22%,48,21,18,1,0,5.09,1.4
Morgan Whittaker,ENG,Derby,"M (R), AM (RC), ST (C)",31,"6'1""",Left,8 (27),8,1144,5,5,"£28,000 p/w",£7.8M - £13M,0,0,473,78%,34,207,65,8,0,8,55,20,41,30,9,0,0,178.0km,31,27,22%,38,18,21,0,1,5.35,3.55
Arron Moore,ENG,Derby,D (RC),21,"6'2""",Right,3 (6),3,359,0,0,"£3,700 p/w",£4.2M - £6M,0,0,215,79%,4,30,12,5,3,9,36,11,5,4,0,0,0,48.0km,0,3,0%,2,0,0,1,0,0,0
Kalern Dewberry,IRL,Derby,"AM (R), ST (C)",21,"6'2""",Right,1 (7),1,195,0,0,"£2,000 p/w",£45K - £3.6M,0,0,54,70%,1,37,9,1,0,3,10,4,7,5,2,0,0,29.3km,7,7,0%,7,2,1,0,0,0.86,0.05
Finley Burns,ENG,Derby,"D (C), DM",28,"6'5""",Right Only,1 (3),1,116,0,0,"£10,500 p/w",£70K - £700K,0,0,97,81%,11,9,3,1,0,3,6,4,6,2,0,0,0,18.1km,0,1,0%,0,-,6,0,0,0,0.26
Eeli Jussila,FIN,Derby,"AM (C), ST (C)",24,"5'8""",Either,1 (1),1,117,0,0,"£15,250 p/w",£3.8M - £7.4M,0,0,23,78%,5,17,7,2,0,1,3,1,1,1,0,0,0,17.3km,0,0,0%,1,0,2,0,0,0.21,0.11
Joe Wills,ENG,Derby,M/AM (C),20,"6'1""",Right,0 (2),-,59,0,0,"£13,000 p/w",£12.5M - £16.5M,0,0,24,96%,1,8,1,1,0,1,0,2,0,-,0,0,0,8.7km,2,0,0%,1,1,0,1,0,0.12,0
Ryan Fennell,ENG,Derby,"M/AM (R), ST (C)",24,"5'8""",Right,0 (1),-,20,0,0,"£5,250 p/w",£400K,0,0,12,83%,0,2,0,0,0,0,-,0,0,-,1,0,0,3.5km,3,0,0%,1,0,0,0,0,0.23,0
Steveroy Blackstock,ENG,Derby,GK,22,"6'4""",Right,-,-,-,-,-,"£1,300 p/w",£0 - £4K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
James Grimshaw,ENG,Derby,"AM (RL), ST (C)",22,"5'10""",Left,-,-,-,-,-,£700 p/w,£0 - £20K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iain Potton,ENG,Derby,M/AM (C),22,"5'10""",Right,-,-,-,-,-,"£3,400 p/w",£8K - £24K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ted Collins,ENG,Derby,GK,29,"6'2""",Left,-,-,-,-,-,"£1,700 p/w",£5K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jack Walton,ENG,Derby,GK,34,"6'2""",Right,-,-,-,-,-,"£7,250 p/w",£12K - £110K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harry Leonard,ENG,Forest Green,"M (L), AM (RLC), ST (C)",28,"5'11""",Right,43 (2),43,3335,5,4,"£9,500 p/w",£500K,0,0,"1,257",79%,87,634,196,31,8,18,215,64,99,81,22,2,4,481.6km,78,50,12%,57,30,36,1,0,4.81,2.97
Eddie Hillier-Harris,WAL,Forest Green,D (RC),24,"6'4""",Right,43 (1),43,3476,0,0,"£5,750 p/w",£140K - £1.4M,0,0,"1,927",76%,121,194,76,35,28,72,321,107,76,61,0,7,20,410.5km,0,1,0%,12,3,3,1,0,1.32,0.4
Tim Iroegbunam,ENG,Forest Green,"DM, M (C)",28,"6'0""",Right,39 (7),39,3421,0,2,"£7,750 p/w",£50K - £500K,0,0,"1,954",83%,187,581,189,25,17,43,190,91,137,97,1,1,5,478.7km,44,27,22%,33,13,29,9,0,1.7,2.45
Emlyn Evans,ENG,Forest Green,D/M/AM (R),24,"5'5""",Right,37,37,3097,1,3,"£4,300 p/w",£40K - £400K,0,0,"1,285",79%,114,442,141,25,9,50,43,104,89,69,5,0,4,441.4km,74,120,7%,12,2,29,6,2,0.96,2.57
Warren Jones,ENG,Forest Green,"M/AM (R), ST (C)",20,"6'2""",Right,35 (2),35,2835,13,0,N/A,£18M - £22M,0,0,826,86%,13,399,123,7,3,21,136,36,71,48,49,1,0,392.3km,44,43,4%,99,41,17,5,0,12.05,0.88
Sonny Finch,ENG,Forest Green,"AM (RLC), ST (C)",26,"5'9""",Right,34 (13),34,3067,9,3,"£8,000 p/w",£150K - £1.5M,0,0,"1,057",79%,41,411,107,13,3,14,240,40,56,45,63,0,0,437.8km,61,30,26%,62,35,35,8,0,8.12,3.82
Steve Croft,IRL,Forest Green,D (RLC),23,"6'4""",Left,33 (4),33,2917,2,1,N/A,£1.5K - £18K,0,0,"1,535",74%,127,300,117,37,15,63,173,105,89,66,3,1,6,401.3km,28,57,15%,10,7,20,7,0,1.32,2.2
Nathanael Ogbeta,NGA,Forest Green,"D (LC), WB (L), DM, M (LC)",31,"6'1""",Left,32 (14),32,2970,2,3,"£5,500 p/w",Not for Sale,0,0,"1,503",80%,126,321,107,46,18,61,114,78,91,70,3,0,10,408.2km,25,49,8%,15,8,14,5,0,1.21,1.53
Matt Troughton,NIR,Forest Green,"D/M (C), ST (C)",21,"5'7""",Right,30 (1),30,2508,0,5,N/A,£5.8M - £8.6M,0,0,"1,457",81%,113,380,156,11,8,21,22,54,68,51,3,1,4,346.2km,23,129,22%,11,3,64,1,0,0.54,4.28
Gong Ji,CHN,Forest Green,GK,20,"6'4""",Right,29,29,2610,0,0,£575 p/w,£5.4M,0,0,788,54%,54,0,0,-,-,-,-,9,4,0,0,3,1,122.6km,0,-,-,0,-,3,0,0,0,0.5
Gary Fleming,NIR,Forest Green,D (RC),23,"6'1""",Right,28 (13),28,2634,0,0,"£4,700 p/w",£550K,0,0,"1,398",73%,101,203,76,29,16,71,119,110,69,46,1,0,8,344.1km,7,20,5%,1,1,10,1,0,0,0.68
Benicio Baker-Boaitey,GHA,Forest Green,M/AM (RL),28,"5'3""",Left,26 (10),26,2326,2,6,"£7,000 p/w",£110K - £1.1M,1,0,754,81%,56,464,144,18,4,30,20,53,106,75,5,1,2,342.6km,66,190,15%,26,7,44,5,0,2.58,4.53
Cheick Diabate,ENG,Forest Green,D (C),30,"6'1""",Right,24 (2),24,2058,0,0,"£7,000 p/w",£40K,0,0,940,69%,65,142,72,30,25,64,196,49,52,36,0,1,16,244.7km,0,0,0%,8,5,5,4,0,0.31,0.67
Ryan Schofield,ENG,Forest Green,GK,32,"6'3""",Right,19,19,1710,0,0,"£3,000 p/w",£20K - £200K,0,0,562,48%,50,0,0,-,-,-,-,10,3,0,0,3,1,81.0km,0,-,-,0,-,0,0,0,0,0
Ibrahim Sackey,GER,Forest Green,M/AM (C),19,"6'5""",Left,16 (14),16,1462,0,1,"£3,500 p/w",£4.1M - £5M,0,0,735,83%,44,266,89,11,7,11,92,37,48,34,1,0,3,208.8km,13,8,12%,15,3,9,3,0,1.23,0.84
Emmanuel Mustapha,ENG,Forest Green,"M (RC), AM (R)",19,"5'8""",Right,15 (14),15,1422,1,3,"£6,000 p/w",£1.1M - £4.7M,0,0,596,78%,81,221,73,16,4,12,27,22,46,34,6,0,1,209.4km,47,87,13%,6,1,33,0,0,0.47,2.97
Femi Seriki,NGA,Forest Green,D/WB/M/AM (R),29,"6'0""",Right Only,12 (13),12,1261,0,0,"£1,500 p/w",£35K - £350K,0,0,607,69%,58,125,51,14,5,38,56,62,40,34,1,1,4,180.4km,10,22,22%,2,0,12,1,0,0.17,0.74
Jahmai Simpson-Pusey,ENG,Forest Green,D (C),26,"6'1""",Right,11 (25),11,1302,0,0,"£1,800 p/w",£90K - £900K,0,0,719,69%,52,91,37,14,11,35,96,29,12,8,0,1,3,163.1km,0,2,0%,0,-,5,1,0,0,0.38
Leon Chiwome,ENG,Forest Green,ST (C),26,"6'4""",Right,8 (27),8,1170,2,1,"£4,900 p/w",£110K - £1.1M,0,0,432,82%,13,161,55,4,0,8,105,22,26,20,16,0,0,172.0km,14,7,28%,22,8,5,2,0,2.48,0.95
Cian Ashford,WAL,Forest Green,"M (C), AM (LC), ST (C)",27,"5'9""",Right Only,6 (8),6,637,4,0,"£6,250 p/w",£22K,2,2,330,85%,30,96,28,2,1,4,10,12,15,11,1,0,0,93.4km,8,11,20%,8,4,13,0,0,2.24,0.76
Conor Casey,IRL,Forest Green,M/AM (C),23,"5'8""",Right,4 (18),4,642,0,0,"£3,200 p/w",£3M,0,0,391,80%,45,103,39,3,2,12,7,13,18,16,0,0,1,93.5km,5,3,0%,3,0,5,1,0,0.06,0.48
Tom Wilson-Brown,ENG,Forest Green,D (LC),27,"6'4""",Left,2 (5),2,227,0,0,"£1,500 p/w",£3K - £28K,0,0,129,63%,13,16,8,6,0,6,18,5,4,4,0,0,0,31.5km,2,2,0%,0,-,0,0,0,0,0
Steven Smith,ENG,Forest Green,M/AM (R),24,"5'10""",Right,1 (1),1,73,0,0,"£1,400 p/w",£30K,0,0,25,64%,4,15,6,0,0,1,1,2,3,3,0,0,0,11.2km,5,7,20%,1,0,1,1,0,0.04,0.26
Jordon Garrick,JAM,Forest Green,"WB (R), M/AM (RL), ST (C)",33,"5'11""",Right,1 (1),1,118,0,0,"£2,800 p/w",£100K,0,0,28,61%,1,21,3,2,2,1,4,4,6,4,0,0,0,17.5km,4,12,16%,3,1,2,0,0,0.09,0.34
Ben Acey,ENG,Forest Green,"WB (R), AM (RLC)",26,"5'8""",Right Only,0 (3),-,40,0,0,"£3,600 p/w",£300K,0,0,9,67%,1,10,4,0,0,1,-,0,2,1,0,0,0,7.4km,0,3,0%,0,-,0,0,0,0,0
Regan Riley,ENG,Forest Green,"D (R), M (C), AM (RLC)",29,"6'2""",Right Only,0 (2),-,37,0,0,"£1,700 p/w",£8K,0,0,12,83%,0,4,2,0,0,1,-,0,5,2,0,0,0,5.4km,0,0,0%,0,-,0,0,0,0,0
Dan Toulson,ENG,Forest Green,"D (C), DM, M (C)",26,"6'0""",Right,0 (1),-,45,0,0,"£1,500 p/w",£24K,0,0,28,57%,2,4,1,2,2,0,7,3,2,2,0,0,0,5.6km,0,0,0%,0,-,0,0,0,0,0
Curtis Nichols,ENG,Forest Green,"M (C), AM (RC)",19,"5'10""",Right,-,-,-,-,-,£100 p/w,£0 - £20K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashley Turner,ENG,Forest Green,D/WB (L),19,"6'0""",Right,-,-,-,-,-,£450 p/w,£80K - £800K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oakley Gilhespy,ENG,Forest Green,"DM, M (LC), AM (L)",20,"5'11""",Left,-,-,-,-,-,£100 p/w,£1K - £12K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connor Spitzers,NED,Forest Green,GK,22,"6'3""",Right,-,-,-,-,-,£650 p/w,£100K - £1M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Perry Bickley,ENG,Forest Green,M/AM (RC),24,"5'11""",Right,-,-,-,-,-,£725 p/w,£2.5K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
David Paterson,SCO,Forest Green,D (RL),24,"5'10""",Right,-,-,-,-,-,"£1,700 p/w",£1.5K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Layton Stewart,ENG,Forest Green,ST (C),29,"5'9""",Right Only,-,-,-,-,-,"£1,000 p/w",£1K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Caoimhin Kelleher,IRL,Fulham,GK,33,"6'2""",Right Only,54,54,4838,0,1,"£38,500 p/w",Not for Sale,0,0,"1,475",58%,123,0,0,-,-,-,-,43,3,0,0,3,2,353.2km,0,-,-,0,-,3,0,0,0,0.58
Zeki Amdouni,SUI,Fulham,"AM (RLC), ST (C)",31,"6'1""",Either,44 (5),44,3337,20,8,"£65,000 p/w",Not for Sale,6,6,"1,179",84%,43,451,140,11,0,5,144,33,79,61,19,0,0,475.8km,45,28,21%,99,52,34,2,0,18.84,3.69
Nathan Tella,NGA,Fulham,"M (R), AM (RL), ST (C)",32,"5'8""",Right,44 (4),44,3405,4,6,"£35,500 p/w",£300K - £3M,0,0,"1,493",82%,116,653,230,15,4,23,48,59,124,90,7,0,0,494.9km,123,229,14%,45,15,55,0,0,4.1,7.73
R?dvan Y?lmaz,TUR,Fulham,D/WB/M (L),30,"5'9""",Left Only,42 (4),42,3499,0,4,"£40,500 p/w",£4.7M - £7.6M,0,0,"2,314",86%,299,482,189,28,11,49,147,154,130,100,2,1,8,531.4km,97,132,12%,11,1,33,8,1,0.53,2.86
Archie Gray,ENG,Fulham,"DM, M/AM (C)",26,"6'1""",Right,39 (7),39,3363,5,5,"£29,500 p/w",£14M - £18.5M,0,0,"2,246",81%,188,575,177,13,5,16,192,60,82,59,3,0,1,501.9km,65,39,15%,52,19,49,1,0,5.77,3.25
Jan-Steffen Kodra,GER,Fulham,D/WB (R),24,"5'8""",Right,38 (7),38,3359,2,6,"£33,500 p/w",£7M - £11.5M,0,0,"2,032",87%,190,409,158,22,9,41,103,160,87,69,7,1,2,529.0km,84,273,14%,16,7,63,4,0,1.32,7.7
Becir Omeragic,SUI,Fulham,"D (RC), DM",30,"6'2""",Right,38 (4),38,3270,1,0,"£41,000 p/w",£11.5M - £15.5M,0,0,"2,661",89%,173,207,88,19,15,31,265,146,64,48,1,0,8,429.0km,12,19,26%,19,9,11,8,0,1.94,0.92
Sam Greenwood,ENG,Fulham,"M (C), AM (RLC), ST (C)",30,"5'11""",Either,38 (4),38,3119,6,3,"£47,000 p/w",£10.5M - £17M,1,0,"1,577",85%,84,532,164,15,5,14,100,41,77,63,13,1,1,451.9km,30,119,22%,75,27,67,3,0,5.23,4.59
Cameron Humphreys,ENG,Fulham,"WB (L), DM, M (LC), AM (RL)",28,"5'10""",Left Only,38 (2),38,3323,2,3,"£43,000 p/w",£13.5M - £17.5M,0,0,"2,252",85%,205,475,147,17,4,20,81,60,88,65,4,1,3,480.3km,18,116,20%,16,5,63,4,0,0.77,4.38
Robson Brown,ENG,Fulham,D (C),20,"6'3""",Right,34 (4),34,2780,0,0,"£26,000 p/w",£29M - £47M,0,0,"2,417",86%,134,153,64,22,18,82,315,117,48,30,0,2,11,344.6km,2,1,0%,20,5,9,3,0,1.55,0.27
Harry Souttar,AUS,Fulham,D (C),33,"6'6""",Right,30 (13),30,2861,5,1,"£54,000 p/w",Not for Sale,0,0,"2,427",87%,156,133,48,20,18,42,292,133,34,26,0,2,4,358.2km,2,4,50%,33,15,9,4,0,3.62,0.57
James Carter,ENG,Fulham,M/AM (L),23,"6'1""",Left,25 (17),25,2345,10,3,"£40,500 p/w",£15.5M - £20M,0,0,965,79%,86,476,153,9,2,11,165,40,115,87,10,0,0,344.4km,123,175,8%,66,30,37,3,0,8.04,4.25
Carlos Alcaraz,ARG,Fulham,M/AM (RC),29,"5'11""",Right,23 (21),23,2308,5,5,"£27,500 p/w",£5.6M - £9.2M,3,2,"1,339",83%,104,370,131,7,2,11,116,41,62,45,2,0,0,340.7km,35,48,11%,58,25,42,0,0,5.42,3.43
Anthony Gordon,ENG,Fulham,"M (R), AM (RLC), ST (C)",31,"6'0""",Right,23 (3),23,1790,9,5,"£48,000 p/w",Not for Sale,2,2,718,83%,40,348,114,10,1,13,74,39,79,60,7,0,0,259.6km,72,147,10%,50,26,40,1,0,6.34,4.68
Ameen Al-Dakhil,BEL,Fulham,"D (C), DM",30,"6'2""",Right,20 (26),20,2269,3,1,"£37,000 p/w",£9.2M,0,0,"1,738",85%,149,163,57,15,11,39,194,89,47,33,0,1,5,305.7km,5,10,20%,8,5,12,7,0,0.98,1.2
Ricki Lisle,SCO,Fulham,"D (RL), WB/AM (R)",24,"5'7""",Either,19 (23),19,2117,0,5,"£15,250 p/w",£6.8M - £8.4M,0,0,"1,216",81%,130,279,106,19,5,45,34,111,77,58,6,0,4,330.8km,89,212,15%,12,4,45,3,0,0.59,4.77
Tom Cannon,IRL,Fulham,ST (C),29,"5'11""",Right,13 (30),13,1744,7,0,"£30,500 p/w",£6.6M - £10.5M,0,0,462,80%,7,195,63,4,1,7,116,11,24,20,56,0,0,247.2km,18,23,13%,81,32,22,0,0,10.89,1.38
Tim Breach,ENG,Fulham,"M (C), AM (RC)",20,"6'1""",Right,11 (12),11,994,2,1,"£13,000 p/w",£18M - £29M,0,0,623,81%,45,181,57,2,0,5,56,14,29,19,0,0,0,151.4km,17,13,7%,26,11,17,0,0,2.34,1.83
Jordan Hope,ENG,Fulham,"DM, M (C)",21,"5'10""",Left,11 (5),11,1008,0,2,"£15,500 p/w",£14.5M - £21M,0,0,596,81%,76,131,54,9,6,8,15,19,25,23,0,0,1,146.3km,2,46,0%,8,1,30,1,0,0.83,2.97
Greg Taylor,SCO,Fulham,"D (LC), WB (L)",34,"5'9""",Left,4 (8),4,501,0,0,"£7,250 p/w",£0 - £50K,0,0,266,70%,24,36,11,3,3,10,17,18,13,10,0,1,4,71.1km,4,1,0%,2,1,2,1,0,0.1,0.33
